Timestamp,Obj_Type,Obj_Radius,Ball_X,Ball_Y,Ball_Z,Palm_X,Palm_Y,Palm_Z,Palm_Rx,Palm_Ry,Palm_Rz,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15
1774348529.375956,sphere,0.033,-0.75299,0.18587,0.16200,-0.75299,0.18587,0.44459,-1.21825,-1.20331,1.22501,0.0000,0.1087,0.0815,0.0634,0.0000,0.1440,0.1080,0.0840,0.0000,0.1615,0.1211,0.0942,0.4559,0.0547,0.1095,0.0958
1774348586.98173,sphere,0.033,-0.79065,0.13623,0.16200,-0.79065,0.13623,0.48225,-1.21827,-1.20296,1.22518,0.0000,0.1149,0.0861,0.0670,0.0000,0.1557,0.1167,0.0908,0.0000,0.1608,0.1206,0.0938,0.4517,0.0597,0.1193,0.1044
1774348600.6481073,sphere,0.033,-0.77065,0.19703,0.16200,-0.77065,0.19703,0.48225,-1.21827,-1.20296,1.22518,0.0000,0.1303,0.0977,0.0760,0.0000,0.1605,0.1203,0.0936,0.0000,0.1766,0.1324,0.1030,0.4690,0.0649,0.1298,0.1136
1774348618.5975394,sphere,0.033,-0.75492,0.20476,0.16200,-0.75492,0.20476,0.46226,-1.21827,-1.72796,1.22518,0.0000,0.1149,0.0861,0.0670,0.0000,0.1605,0.1203,0.0936,0.0000,0.1742,0.1306,0.1016,0.4721,0.0578,0.1157,0.1012
1774348647.862225,sphere,0.033,-0.86975,0.20526,0.16200,-0.86975,0.20526,0.46807,-1.21825,-1.23328,1.22509,0.0000,0.1279,0.0959,0.0746,0.0000,0.1687,0.1265,0.0984,0.0000,0.1714,0.1286,0.1000,0.4636,0.0649,0.1298,0.1136
1774348675.0043354,sphere,0.033,-0.76131,-0.03368,0.16200,-0.76131,-0.03368,0.45169,-1.21831,-1.56329,1.22523,0.0000,0.0981,0.0735,0.0572,0.0000,0.1447,0.1085,0.0844,0.0000,0.1803,0.1353,0.1052,0.4679,0.0523,0.1047,0.0916
1774348688.8762903,sphere,0.033,-0.75905,-0.03308,0.16200,-0.75905,-0.03308,0.44958,-1.21831,-1.32329,1.22523,0.0000,0.1402,0.1052,0.0818,0.0000,0.1639,0.1229,0.0956,0.0000,0.2143,0.1607,0.1250,0.5099,0.0627,0.1255,0.1098
1774348702.6285584,sphere,0.033,-0.74865,0.00772,0.16200,-0.74865,0.00772,0.44958,-1.21831,-1.32329,1.22523,0.0000,0.1234,0.0926,0.0720,0.0000,0.1663,0.1247,0.0970,0.0000,0.1824,0.1368,0.1064,0.4798,0.0600,0.1200,0.1050
1774348726.4106321,sphere,0.033,-0.67933,0.15288,0.16200,-0.67933,0.15288,0.39846,-1.21764,-1.20308,1.22547,0.0000,0.1351,0.1013,0.0788,0.0000,0.1773,0.1329,0.1034,0.0000,0.1848,0.1386,0.1078,0.5099,0.0573,0.1145,0.1002
1774348754.4168763,sphere,0.033,-0.79216,0.22262,0.16200,-0.79216,0.22262,0.44944,-1.21830,-1.20322,1.22519,0.0000,0.1395,0.1047,0.0814,0.0000,0.1656,0.1242,0.0966,0.0000,0.1817,0.1363,0.1060,0.5226,0.0658,0.1317,0.1152
1774348767.6004608,sphere,0.033,-0.77776,0.26662,0.16200,-0.77776,0.26662,0.44944,-1.21830,-1.20322,1.22519,0.0000,0.1087,0.0815,0.0634,0.0000,0.1416,0.1062,0.0826,0.0000,0.1529,0.1147,0.0892,0.4540,0.0533,0.1065,0.0932
1774348790.3760927,sphere,0.033,-0.87645,0.10914,0.16200,-0.87645,0.10914,0.46079,-1.21791,-1.44291,1.22555,0.0000,0.1310,0.0982,0.0764,0.0000,0.1629,0.1221,0.0950,0.0000,0.1461,0.1095,0.0852,0.4949,0.0618,0.1237,0.1082
1774348880.2032135,sphere,0.033,-0.89847,0.25954,0.16200,-0.89847,0.25954,0.45072,-1.21816,-1.62326,1.22512,0.0000,0.1389,0.1041,0.0810,0.0000,0.1574,0.1180,0.0918,0.0000,0.1910,0.1432,0.1114,0.5014,0.0594,0.1189,0.1040
1774348895.578051,sphere,0.033,-0.75380,0.09703,0.16200,-0.75380,0.09703,0.50782,-1.21815,-1.20330,1.22508,0.0000,0.1032,0.0774,0.0602,0.0000,0.1382,0.1036,0.0806,0.0000,0.1810,0.1358,0.1056,0.4312,0.0535,0.1070,0.0936
1774348904.9081397,sphere,0.033,-0.67780,0.16423,0.16200,-0.67780,0.16423,0.50782,-1.21815,-1.20330,1.22508,0.0000,0.0981,0.0735,0.0572,0.0000,0.1238,0.0928,0.0722,0.0000,0.1721,0.1291,0.1004,0.4239,0.0560,0.1120,0.0980
1774348922.6744561,sphere,0.033,-0.77320,0.16289,0.16200,-0.77320,0.16289,0.46973,-1.21815,-1.50330,1.22508,0.0000,0.0974,0.0730,0.0568,0.0000,0.1385,0.1039,0.0808,0.0000,0.1467,0.1101,0.0856,0.4486,0.0514,0.1029,0.0900
1774348956.2913227,sphere,0.033,-0.68119,0.21854,0.16200,-0.68119,0.21854,0.41151,-1.21828,-0.64839,1.22510,0.0000,0.1251,0.0939,0.0730,0.0000,0.1557,0.1167,0.0908,0.0000,0.1721,0.1291,0.1004,0.4420,0.0483,0.0967,0.0846
1774349010.1129928,sphere,0.033,-0.68155,0.26775,0.16200,-0.68155,0.26775,0.41771,-1.21875,-0.91771,1.22517,0.0000,0.1066,0.0800,0.0622,0.0000,0.1433,0.1075,0.0836,0.0000,0.1690,0.1268,0.0986,0.2893,0.0433,0.0866,0.0758
